Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Alexandre Frota denuncia plano de bolsonaristas para atacar igrejas e culpar o PT antes das eleições,Estadão,https://www.estadao.com.br/estadao-verifica/declaracao-alexandre-frota-bolsonaristas-prejudicar-lula-falso/,Falso,2026-05-08 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQbs0xfUX3RSZ05mOTSJG5cYhijGLxmE_0HlJTtcIgD8opA3Xoq,"['Bolsonarismo', 'Partido dos Trabalhadores', 'Eleição', 'Partido dos Trabalhadores']"
Decisão do TSE de manter direito de voto a presos na eleição de 2026 é golpe,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/06/video-engana-decisao-tse-presos-provisorios.ghtm,Distorcido,2026-05-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqs18rtAPiiGFjj1_gE8gx9P_201g1v4-lsqHKPr67C40Zutal,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Direito']"
Flávio prometeu “auxílio sacolão de ossos” caso seja eleito,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-auxilio-sacolao-osso/,falso,2026-05-06 07:00:00,,"['Flávio Bolsonaro', 'Eleição', 'Osso']"
Uma tentativa de golpe está em andamento porque o TSE adiou para as eleições seguintes a proibição de voto entre presos provisórios.,Estadão,https://www.estadao.com.br/estadao-verifica/video-omite-decisao-tse-voto-presos-provisorios-principio-constitucional/,Enganoso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRuCaOK8ilIQ2aDzso0JZbhfEhjNvP85pPl4E17eu7IMb4ZU0TS,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição']"
Maduro implica Obama em investigação de fraude eleitoral e tráfico de drogas,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/29/falso-maduro-obama-fraude-eleitoral.ghtm,Falso,2026-04-29 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS5BHa0hfEWoztI0TpIW40CC00Rj5_r6CBEiEV49GbJfE_uqgGr,"['Nicolás Maduro', 'Fraude eleitoral', 'Barack Obama', 'Fraude', 'Eleição', 'Narcotráfico', 'Droga', 'Pesquisa']"
"Lula diz: ""Eu só ganhei as eleições porque o povo nordestino é analfabeto""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/29/lula-nao-disse-que-so-ganhou-eleicao-porque-nordestino-e-analfabeto.ghtm,Distorcido,2026-04-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ5OO5Noppi6UZaxhLOwvix131OCEdCQP5dp3bjKIq3lZHHX-y_,"['Luiz Inácio Lula da Silva', 'Eleição']"
"Flávio Bolsonaro disse que vai revogar o fim da escala 6x1, caso seja eleito",Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-escala-6x1/,falso,2026-04-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT_Igkmt3qy5cVJqW9bPq2E4sBb68OxurTKMY-Vo6Zp1VqOSjK8,"['Flávio Bolsonaro', 'Eleição']"
A polícia achou os eleitores do Flavio Rachadinha e da Nikole!!!,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/24/falso-video-fazenda-likes-flavio-bolsonaro-nikolas-ferreira-ia.ghtm,Falso,2026-04-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-SA5XqTGVLlCep7zm5VeunKaMKoILDdiAWP3dCgUzLZkGltvK,"['Flávio Bolsonaro', 'Eleição', 'Desvio de salário de assessor', 'Polícia']"
Maduro implica Obama em investigação de fraude eleitoral e tráfico de drogas,Estadão,https://www.estadao.com.br/estadao-verifica/maduro-obama-fraude-eleitoral-falso/,Falso,2026-04-24 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS2FVxGXXZHpjoxi3xwvZgvkkmzXA63VUnAF2m8Qr-NW3HzCbRn,"['Nicolás Maduro', 'Fraude eleitoral', 'Barack Obama', 'Eleição', 'Fraude', 'Pesquisa', 'Narcotráfico', 'Droga']"
Lula pede ao TSE para barrar vídeos na internet durante as eleições,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/14/falso-lula-pediu-tse-proibir-videos-na-internet-eleicoes.amp.htm,Falso,2026-04-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ5wNKBSJg7fgknLs4YCicVkhnm0h5u3p0HlfXIZAzx32ONvWXy,"['Luiz Inácio Lula da Silva', 'Tribunal Superior Eleitoral', 'Eleição', 'Vídeo', 'Internet']"
