Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Pilili, mascote da urna eletrônica, faz o L de Lula",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/08/falso-mascote-tse-fez-o-l.amp.htm,Falso,2026-05-08 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS654GDvh9oUhZyNyDFB9TDRCeR0syTdxpq1VM3C9M09hs7395Y,"['Urna eleitoral', 'Luiz Inácio Lula da Silva', 'Faz o L', 'Mascote', 'Máquina de votação', 'Eletrônica']"
Lula perdeu todas as eleições com votação manual e nunca perdeu eleição com urna eletrônica,AFP Checamos,https://checamos.afp.com/doc.afp.com.88868T3,Enganoso,2025-12-15 08:00:00,,"['Luiz Inácio Lula da Silva', 'Eleição', 'Votação', 'Urna eleitoral', 'Máquina de votação', 'Eletrônica']"
Lula perdeu todas as eleições feitas com cédulas de papel e venceu todas após as urnas eletrônicas,Aos Fatos,https://www.aosfatos.org/noticias/falso-que-lula-so-venceu-eleicoes-apos-urnas-eletronicas/,falso,2025-12-09 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRe5e01nS8_OJfem_RbqwCjJv7y3lPetCtiTa6iWoWPz3OyEiZ8,"['Luiz Inácio Lula da Silva', 'Eleição', 'Urna eleitoral', 'Cédula eleitoral', 'Papel', 'Urna eletrônica']"
No congresso americano todas as urnas foram hackeadas em menos de duas horas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/urnas-eletronicas-brasileiras-nao-foram-fraudadas-em-evento-em-las-vegas/,Falso,2025-11-07 08:00:00,,"['Urna eleitoral', 'Congresso']"
Luís Roberto Barroso e EUA agiram para comprar chips fraudulentos de Taiwan para roubar votos para Lula em 2022,Estadão,https://www.estadao.com.br/estadao-verifica/barroso-comprou-chips-adulterados-taiwan-roubar-votos-lula-falso/,Enganoso,2025-08-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsQZK51XiX5p6nheDlDgjzfdadpgc1bwRJwmXKSrYEIUc3PTY5,"['Luís Roberto Barroso', 'Taiwan', 'Votação', 'Luiz Inácio Lula da Silva', 'Circuito integrado', '2022', 'Estados Unidos']"
[Conclusão do inquérito do PSDB:] as urnas são inauditáveis. Não sou eu que disse isso.,Aos Fatos,https://www.aosfatos.org/noticias/apos-se-tornar-reu-bolsonaro-mente-sobre-8-de-janeiro-e-eleicoes/,falso,2025-03-26 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrH4Zyltx2R39Zh9dyV6KCPdZpUEBLprY0UnXIljW-G6OAe4NO,"['Urna eleitoral', 'Partido da Social Democracia Brasileira', 'PSDB', 'Inquérito policial']"
TSE descarta 200 mil urnas para apagar rastro da fraude e enterrar qualquer chance de auditoria,AFP Checamos,https://checamos.afp.com/doc.afp.com.372U92K,Falso,2025-03-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRETgmREgzgU9sm9CjjgJjFk0-oTOm0pHmTZFAypAgES3hrMCbG,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Auditoria', 'Fraude']"
Elon Musk publicou um vídeo da trama do golpe das urnas,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/volta-a-circular-mentira-sobre-urnas-terem-sido-fraudadas-por-moraes-em-2022/,Falso: Não há qualquer evidência de que as eleições de 2022 tenham sido fraudadas. Vídeo viral volta a circular com uma falsa troca de mensagens entre o ministro Alexandre de Moraes e um engenheiro da Oracle.,2025-03-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt-JSGaFYa1JrqffNyjzS8iKuDm7aq4wHMFHknS87lJAoBCwaM,"['Urna eleitoral', 'Elon Musk', 'Vídeo']"
TSE destruiu 200 mil urnas para apagar rastros de fraude e enterrar chances de autoria nas eleições,Estadão,https://www.estadao.com.br/estadao-verifica/tse-detona-200-mil-urnas-para-apagar-rastro-fraude-enganoso/,Enganoso,2025-03-12 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCuV3dWwPdl9-dyTH1tZ4NrLwC8m184FQ_-l-1dlpu7FQpikqb,"['Urna eleitoral', 'Tribunal Superior Eleitoral', 'Eleição', 'Fraude']"
Donald Trump elogiou urnas eletrônicas brasileiras,Aos Fatos,https://www.aosfatos.org/noticias/trump-elogiou-identificacao-biometrica-nao-urna-eletronica-brasileira/,não_é_bem_assim,2025-03-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT30Dk3M-lZmudeRpE542OHZBsSaswPhpgSmFyqLbAJ_lSVomvB,"['Donald Trump', 'Urna eletrônica', 'Brasil']"
TSE descarta 195 mil urnas após denúncia de golpe por Mike Benz,Estadão,https://www.estadao.com.br/estadao-verifica/tse-descarta-195-mil-urnas-apos-denuncias-mike-benz/,Enganoso,2025-02-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHlldEusu9hOwSe3ANS1gVAjDNDc6eriEBdxSGht4BOyQTjACC,"['Tribunal Superior Eleitoral', 'Urna eleitoral']"
