Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Decisão do TSE de manter direito de voto a presos na eleição de 2026 é golpe,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/06/video-engana-decisao-tse-presos-provisorios.ghtm,Distorcido,2026-05-06 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqs18rtAPiiGFjj1_gE8gx9P_201g1v4-lsqHKPr67C40Zutal,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição', 'Direito']"
Jorge Messias chorou após votação no Senado que o rejeitou para o STF,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/04/e-ia-imagem-de-messias-chorando-apos-ser-rejeitado-para-o-stf.htm?t={seek_to_second_number},Falso,2026-05-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQvGyk-pn6wOH94GoygDs-xuzSs_pAr8BVpGrNdNV9nAw6aI-k9,"['Jorge Messias', 'Supremo Tribunal Federal', 'Senado Federal do Brasil', 'Votação']"
Uma tentativa de golpe está em andamento porque o TSE adiou para as eleições seguintes a proibição de voto entre presos provisórios.,Estadão,https://www.estadao.com.br/estadao-verifica/video-omite-decisao-tse-voto-presos-provisorios-principio-constitucional/,Enganoso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRuCaOK8ilIQ2aDzso0JZbhfEhjNvP85pPl4E17eu7IMb4ZU0TS,"['Tribunal Superior Eleitoral', 'Votação', 'Eleição']"
"""Maçonaria apela ao voto em António José Seguro""",Observador,https://observador.pt/factchecks/fact-check-noticia-sobre-apoio-da-maconaria-a-antonio-jose-seguro-e-verdadeira/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['António José Seguro', 'Maçonaria', 'Votação']"
"Caras de Passos, Ronaldo, Herman, Lili Caneças e Jorge Jesus com o slogan: ""Eu voto Ventura""",Observador,https://observador.pt/factchecks/fact-check-passos-ronaldo-herman-jose-e-lili-canecas-anunciaram-voto-em-andre-ventura/,Errado,2026-01-26 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOv_Mheo-5LPg4qYWWsymKcqVbeLWVUBH6sgQDSOE1unX2YU8W,"['André Ventura', 'Votação', 'Herman José', 'Lili Caneças', 'Cristiano Ronaldo', 'Jorge Jesus', 'Slogan', 'Caras']"
Mulher que mora nos EUA descobriu registro de voto nas eleições de 2022 no Brasil,Estadão,https://www.estadao.com.br/estadao-verifica/mulher-que-mora-nos-eua-tem-registro-de-voto-em-2022-enganoso/,Enganoso,2026-01-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSMhQpv4da1O_uC-uKKGWkNtrJoY4h5wgLIt0X-GlCRFFfpWPf_,"['Votação', 'Eleição', 'Estados Unidos', 'Eleições presidenciais brasileiras, 2022', '2022', 'Brasil', 'Eleições gerais brasileiras, 2022']"
"Eleitora diz que votaram em seu lugar nas eleições de 2022, quando estava fora do país.",Aos Fatos,https://www.aosfatos.org/noticias/nao-e-verdade-tse-contabilizou-voto-eleitora-ausente-2022/,falso,2026-01-16 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQioBcwD_3vB-l3eQK_KR5uOUWMfqS02YqWfMpwi-p3pFruXL7a,"['Eleitor', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
Ministra Cármen Lúcia proferiu voto a favor de Bolsonaro em julgamento,Aos Fatos,https://www.aosfatos.org/noticias/video-nao-mostra-voto-de-carmen-lucia-que-beneficia-bolsonaro/,falso,2025-09-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSh_4fml1SvZ4d0Y6DbbhRthnoxkonrbMJZt3merFHwY1jz9FuJ,"['Cármen Lúcia Antunes Rocha', 'Jair Bolsonaro', 'Votação', 'Ministro', 'Sentença']"
Nos falta a possibilidade de auditar se o voto computado e totalizado eletronicamente corresponde materialmente ao voto impresso,Aos Fatos,https://www.aosfatos.org/noticias/relatorio-novo-codigo-eleitoral-usa-desinformacao-justificar-voto-impresso/,falso,2025-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTjp31mOKOEh0NBcm_m8RBROcofAPv6gq1zQK98pElN3LExhMUf,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Auditoria']"
Barroso pagou 9 milhões para cada líder e vice-líder partidário para que trocassem os deputados que votariam a favor do voto impresso por políticos que eram contrários.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/08/13/e-falso-que-barroso-pagou-para-deputados-votarem-contra-voto-impresso.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSi0rEHu1PM_OFpTboM0KZsRGLtK0NX8hdofj81tJpeoHacqHft,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Deputado', 'Político', 'Líder de partido', 'Liderança']"
